table	n_sessions	n_singletons	pct_singletons	pct_lt_1s	pct_lt_5s	pct_lt_60s	pct_gt_1h	pct_gt_4h	pct_gt_8h	median_s	mean_s	p90_s	p95_s	p99_s	max_s	method	params
sessions_hdbscan_mcs5_ms2_e0	2101728	1039746	49.47	49.47	49.49	58.29	10.58	5.72	3.86	295.0	8618.2	18186.0	46857.0	165141.0	655352.0	hdbscan	mcs5_ms2_e0
sessions_hdbscan_mcs5_ms2_e180	1512661	727810	48.11	48.12	48.12	50.38	15.19	8.11	5.46	917.0	11901.8	31055.0	65766.0	181491.0	682690.0	hdbscan	mcs5_ms2_e180
sessions_hdbscan_mcs5_ms2_e300	1414401	678302	47.96	47.96	47.96	50.05	16.56	8.75	5.88	1211.0	12793.7	34065.0	72036.0	186677.0	682690.0	hdbscan	mcs5_ms2_e300
sessions_hdbscan_mcs5_ms2_e60	1770838	861440	48.65	48.65	48.65	51.89	12.68	6.84	4.61	500.0	10136.3	24117.0	54184.0	173351.0	655352.0	hdbscan	mcs5_ms2_e60
sessions_hdbscan_mcs5_ms3_e0	2053036	1062430	51.75	52.06	52.07	59.08	10.75	5.77	3.87	364.0	8948.9	20243.0	48468.0	163514.0	655352.0	hdbscan	mcs5_ms3_e0
sessions_hdbscan_mcs5_ms3_e180	1547750	774240	50.02	50.21	50.22	52.4	14.61	7.78	5.21	923.0	11620.4	30700.0	63285.0	176372.0	682690.0	hdbscan	mcs5_ms3_e180
sessions_hdbscan_mcs5_ms3_e300	1449074	721526	49.79	49.97	49.97	51.99	15.89	8.37	5.59	1205.0	12443.7	33433.0	69033.0	180103.0	682690.0	hdbscan	mcs5_ms3_e300
sessions_hdbscan_mcs5_ms3_e60	1797476	914083	50.85	51.1	51.1	54.18	12.35	6.62	4.44	535.0	10070.3	24694.0	53849.0	170388.0	655352.0	hdbscan	mcs5_ms3_e60
sessions_tukey_k1_2	1814376	0	0.0	21.9	27.03	50.49	8.31	4.52	3.03	117.0	6594.3	4228.0	18878.0	175326.0	690891.0	tukey	k1_2
sessions_tukey_k1_5	3383246	0	0.0	20.94	25.84	48.28	8.95	4.93	3.35	132.0	7669.3	4957.0	21628.0	215413.0	709015.0	tukey	k1_5
sessions_tukey_k1_7	1626633	0	0.0	20.46	25.24	47.15	9.31	5.18	3.54	141.0	8340.4	5413.0	23587.0	248859.0	709015.0	tukey	k1_7
