name	score	loc	scale	arg
weibull_min	1.6923696696276623e-08	300.0025279999999	8398.050086359632	(np.float64(0.5010881790879447),)
fisk	5.797757023467699e-09	300.0025277932891	3004.450648682542	(np.float64(0.7686049749783868),)
lomax	2.8493372666582834e-09	300.00252781510164	1311.3570332872305	(np.float64(0.6302820247660272),)
genpareto	2.8497585572188067e-09	300.0025279997322	2080.6728793026837	(np.float64(1.5865291686731289),)
pareto	2.849766211634542e-09	-1011.4605118935904	1311.4630398935901	(np.float64(0.6303067042140043),)
lognorm	3.641956926941083e-09	298.5624477697077	2877.735938036523	(np.float64(2.22022962225769),)
expon	7.581821198470221e-08	300.002528	18000.77926212154	()
gamma	1.212271428524883e-07	300.0025279999999	3.359648112445047	(np.float64(5.128836310811099e-05),)
