name	score	loc	scale	arg
gamma	1.1787405676941146e-06	0.0019999999999999996	92072.73953884706	(np.float64(0.06699949277997601),)
fisk	5.698991723053955e-07	0.001999999999999759	91.01475535251208	(np.float64(0.8156408859565105),)
lognorm	5.886304101237978e-07	-0.11891176825472319	111.77364722431588	(np.float64(2.3435976597726467),)
lomax	6.623200918324024e-07	0.001999999982217282	35.61306178235584	(np.float64(0.56140003591194),)
pareto	6.623229433541072e-07	-35.61060145962599	35.612601459625985	(np.float64(0.5613981014203246),)
genpareto	6.623368091002013e-07	0.0019999999853528598	63.43287494216031	(np.float64(1.7813237053755697),)
weibull_min	8.58600037896737e-07	0.0019999999999999996	3020.085519252658	(np.float64(0.3489522583803093),)
expon	9.920712464438845e-07	0.002	3149.86445305	()
