name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
gamma	-0.2385062390587896	0.3	True	0.0009999999999999998	240999.30841827017	(np.float64(0.10970319695223568),)
expon	-3.000434077479319	0.0	False	0.001	2942.4660207699994	()
fisk	-3.000434077479319	0.0	False	0.0009999999999999992	71.3938049762229	(np.float64(0.7338076182614908),)
pareto	-3.000434077479319	0.0	False	-25.320150819276403	25.3211508192764	(np.float64(0.5396852344414567),)
lomax	-3.000434077479319	0.0	False	0.0009999999705026124	25.31303317229693	(np.float64(0.5394918869654566),)
genpareto	-3.000434077479319	0.0	False	0.0009999999779902384	46.91835519047247	(np.float64(1.8529329528744412),)
weibull_min	-1.8864907251724818	0.0	False	0.0009999999999999998	2712.3175491885318	(np.float64(0.3350739448560839),)
						
