name	score	loc	scale	arg
lomax	4.1065092434934736e-08	-0.004487327132064331	263.2994176516148	(np.float64(0.6388532764088839),)
genpareto	4.04175135571574e-08	-0.0076373607871033505	413.9836365877519	(np.float64(1.553699649377346),)
pareto	4.087340140857562e-08	-264.1890686803572	264.1900686803572	(np.float64(0.6402214028778687),)
fisk	5.977492075508577e-08	0.0009999999999999736	592.3552348025071	(np.float64(0.826034826678139),)
lognorm	8.936839673637039e-08	-0.7192120170424271	599.1524016376877	(np.float64(2.1706713789468366),)
weibull_min	2.9269700200339094e-07	0.0009999999999999998	6531.673260612439	(np.float64(0.44990480178915193),)
expon	4.4628917375845546e-07	0.001	6278.48754373	()
gamma	6.716893770230063e-07	0.0009999999999999046	4.272983208825124	(np.float64(0.00011576295795379536),)
