name	score	loc	scale	arg
fisk	3.492863668578915e-08	0.0006779999999999562	1376.871914291216	(np.float64(0.5920072978923121),)
genpareto	1.40062481276024e-08	0.0006779999480204823	492.6506130767857	(np.float64(2.5613605798792793),)
pareto	1.4006388613069394e-08	-192.33724492964097	192.33792292964097	(np.float64(0.390416000515861),)
lomax	1.4006397821919043e-08	0.0006779999997780885	192.33733577073096	(np.float64(0.39041589161903),)
lognorm	3.62282533011458e-08	-0.12539909624753248	1392.4187739266654	(np.float64(2.794626891185638),)
weibull_min	6.934038916519345e-08	0.0006779999999999996	7841.484729637883	(np.float64(0.5217975526440726),)
expon	1.6624938543985022e-07	0.000678	17640.906464569332	()
gamma	2.17496154348271e-07	0.0006779999999999999	4.3480414794641575	(np.float64(6.840356863163614e-05),)
