name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
gamma	1.6252131595488105e-06	0.6	True	0.003999999999999999	34410.56848696264	(np.float64(0.3680088705018432),)
lomax	6.436467150077947e-07	0.2	True	0.003999775880623033	238.79083693327334	(np.float64(0.5534815074404225),)
pareto	6.436322181551849e-07	0.0	False	-238.7400309333557	238.7440309333557	(np.float64(0.5534554463556013),)
genpareto	6.436668404223706e-07	0.0	False	0.00399999766100744	431.55502730856824	(np.float64(1.8059768723122507),)
fisk	7.833367222969767e-07	0.0	False	0.003999999999999998	665.1529518924915	(np.float64(0.7920653432869565),)
lognorm	8.560103801479566e-07	0.0	False	-0.2645013456473848	804.1641019159794	(np.float64(2.2020815690533326),)
weibull_min	1.6042170381041745e-06	0.0	False	0.003999999999999999	14025.191830233802	(np.float64(0.4074900325013805),)
expon	2.400756277920946e-06	0.0	False	0.004	10133.322803989999	()
