name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
gamma	-0.2728928204507622	0.1	True	2.9999999999999996	33516.10290590771	(np.float64(0.36167643341954553),)
expon	-3.000434077479319	0.0	False	3.0	10037.03412323	()
fisk	-3.000434077479319	0.0	False	2.999999999999999	653.6585111429613	(np.float64(0.8015441935774186),)
pareto	-3.000434077479319	0.0	False	-247.10463710382774	250.1046371038277	(np.float64(0.5638615679981828),)
lomax	-3.000434077479319	0.0	False	2.999999999623137	250.10514729601567	(np.float64(0.5638616604729028),)
genpareto	-3.000434077479319	0.0	False	2.9999999168922393	424.2855595644943	(np.float64(1.7931079186329337),)
weibull_min	-1.8543060418010806	0.0	False	2.9999999999999996	13648.868474398485	(np.float64(0.41008125610086127),)
						
