name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
fisk	3.7097195105823317e-07	0.1	False	0.0004999965286989806	3263.672225104785	(np.float64(0.653695996849508),)
weibull_min	6.129880656535133e-07	0.1	True	0.0004999999999999999	23537.936189100557	(np.float64(0.4638472394437614),)
lognorm	3.167413045795509e-07	0.0	False	-1.0472799991819384	2845.676097617557	(np.float64(2.581772093090078),)
genpareto	3.940542802808666e-07	0.0	False	0.0004999999949601083	1854.0343434360193	(np.float64(1.8704203916245241),)
pareto	3.940543580514453e-07	0.0	False	-991.2393925319177	991.2398925319177	(np.float64(0.5346392542380429),)
lomax	3.9405437474040484e-07	0.0	False	0.0004999999938125354	991.2399992817943	(np.float64(0.5346392342755826),)
expon	1.205573778449618e-06	0.0	False	0.0005	21840.68638725465	()
gamma	1.2144051083464258e-06	0.0	False	-25235.146277029708	12854.07566658043	(np.float64(3.3625152309042723),)
