name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
lognorm	5.558683392486147e-07	1.0	True	5.999999999999999	16.25646338435035	(np.float64(8.209648785322534),)
fisk	4.2057820382598314e-07	0.6	True	5.999999999999995	45.5507954114768	(np.float64(0.5237291285551695),)
lomax	4.658420077269047e-07	0.2	True	5.99999999999636	6.686064280690677	(np.float64(0.3665014483443497),)
weibull_min	4.5259382117528203e-07	0.1	True	5.999999999999999	4334.675105691976	(np.float64(0.24702005826389756),)
genpareto	4.536090234579491e-07	0.0	False	5.999999999787654	22.493554570071474	(np.float64(2.5055188226162404),)
pareto	4.658452529826124e-07	0.0	False	-0.6860660586494651	6.686066058649464	(np.float64(0.36651123955585707),)
expon	4.7099978703988365e-07	0.0	False	6.0	4786.16847459238	()
gamma	7.04780064246609e-07	0.0	False	5.999999999999998	4.270012478782415	(np.float64(7.252258991909252e-05),)
