name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
lognorm	0.13033355545511846	1.0	True	0.9999999999999998	0.020723098082931855	(np.float64(12.495216785518878),)
fisk	0.021398362722075386	0.0	False	0.7145748861866098	2.307247516821829	(np.float64(1.7043823443075157),)
expon	0.02623213537911125	0.0	False	1.0	3.34551	()
genpareto	0.026572141077743784	0.0	False	0.9999999983891883	3.3369504593261867	(np.float64(0.022667450123423128),)
pareto	0.03878343973879668	0.0	False	-13.40999040330429	14.409990403304288	(np.float64(5.353407503198206),)
lomax	0.04061327183124556	0.0	False	0.9999999999487825	10.4755279858867	(np.float64(3.9777210187337566),)
gamma	0.15935764982019357	0.0	False	0.9999999999999998	1.5718219470355452	(np.float64(0.008755588959878807),)
weibull_min	0.16251180246447	0.0	False	3.9999999999999996	0.12745838632919979	(np.float64(0.29375447351322936),)
