name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
fisk	-3.000434077479319	0.1	True	0.9999999999999993	1723.960894358288	(np.float64(0.48872052852065073),)
weibull_min	-1.7451615723760125	0.1	False	0.9999999999999998	26480.589973428163	(np.float64(0.35289220414687195),)
expon	-3.000434077479319	0.0	False	1.0	21807.31311280223	()
pareto	-3.000434077479319	0.0	False	-108.00017285466276	109.00017285466275	(np.float64(0.3100661083948937),)
lomax	-3.000434077479319	0.0	False	0.9999999999051572	109.0015942405465	(np.float64(0.31006717930194594),)
genpareto	-3.000434077479319	0.0	False	0.999999999999063	351.5383517276746	(np.float64(3.225119547648478),)
gamma	-0.30846897471195833	0.0	False	0.9999999999999999	3.4546232434729194	(np.float64(6.459952055926016e-05),)
						
