col	family	spearman_rho
duration	gamma	0.204751677706197
duration	lognorm	-0.482204222472411
duration	weibull_min	0.403618032650018
duration	pareto	-0.784834083908395
gap	gamma	0.573234659266112
gap	lognorm	-0.353589496299466
gap	weibull_min	0.38607476815897
gap	pareto	-0.734700112348596
