name	score	loc	scale	arg
fisk	1.137184405542905e-07	0.00046799999999999994	298.3921316516022	(np.float64(0.5221495752794622),)
lognorm	1.3202188177082254e-07	-8.163191707592955e-05	377.60617824153013	(np.float64(3.467377560134627),)
genpareto	1.486592006939803e-07	0.0004679999996500812	59.80266640986835	(np.float64(3.578769772632704),)
pareto	1.4865921369316913e-07	-16.709922457150657	16.710390457150655	(np.float64(0.2794258258149205),)
lomax	1.4865932219493242e-07	0.0004679999070767586	16.710345226049753	(np.float64(0.2794254590704631),)
weibull_min	1.9820480833539478e-07	0.00046799999999999994	18035.10809168743	(np.float64(0.29816632983677027),)
expon	2.8250350179312834e-07	0.000468	14057.09916940885	()
gamma	3.5179299706699456e-07	0.00046799999910261767	4.365229648171564	(np.float64(7.361041161478254e-05),)
