name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
fisk	5.30609121730575e-07	0.5	True	0.0004999999999376327	1242.0381046779416	(np.float64(0.5055565269711861),)
lognorm	5.174886775461013e-07	0.0	False	-0.010070238550454347	1450.183348238555	(np.float64(3.3548349273656464),)
pareto	5.418598104922003e-07	0.0	False	-102.94027900027459	102.94077900027457	(np.float64(0.30456854468571837),)
genpareto	5.41859865532325e-07	0.0	False	0.0004999999976788271	337.98875178996775	(np.float64(3.283333353948369),)
lomax	5.421673661328445e-07	0.0	False	0.0004999999712352505	102.72104191255315	(np.float64(0.304289164813479),)
weibull_min	6.775212696744634e-07	0.0	False	0.0004999999999999999	27417.96257776462	(np.float64(0.37137788144684747),)
expon	1.3122409298580578e-06	0.0	False	0.0005	21813.75274858763	()
gamma	1.5223788274765104e-06	0.0	False	0.0004999999999999999	3.452881387734582	(np.float64(7.678766701287413e-05),)
