name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
expon	-3.000434077479319	0.0	False	0.000591	24009.563006288303	()
fisk	-3.000434077479319	0.0	False	0.0005909999999999999	1.6458855739023681	(np.float64(0.19479700366471508),)
pareto	-3.000434077479319	0.0	False	-1999.6202160231846	1999.6208070231846	(np.float64(0.6388274188548081),)
lomax	-3.000434077479319	0.0	False	0.0005909933901577261	1998.7171492492425	(np.float64(0.6386656718075985),)
genpareto	-3.000434077479319	0.0	False	0.0005909999992216991	3130.1443785664446	(np.float64(1.5653670498113503),)
weibull_min	-1.5380360795803625	0.0	False	0.0005909999999999999	31573.246688236803	(np.float64(0.49551830550385745),)
gamma	-0.14491492181151855	0.0	False	-5617580552.645743	1533296.5516094253	(np.float64(3663.2429265965275),)
						
