name	score	loc	scale	arg
lognorm	1.2696341068786327e-09	-4.582249999931887	3816.6057877454314	(np.float64(2.4004027533306016),)
lomax	3.345764840481793e-09	0.0006779993897180286	2120.080838191123	(np.float64(0.6596690608114586),)
pareto	3.3458341458321048e-09	-2120.05994456427	2120.06062256427	(np.float64(0.6596560783726012),)
genpareto	3.3479202586402988e-09	0.0006779999163593132	3214.4954799049992	(np.float64(1.5157514301587445),)
fisk	3.642566244250635e-09	0.0006779999999988117	4446.048420718169	(np.float64(0.7514633376229856),)
weibull_min	2.0495958333815102e-08	0.0006779999999999999	25034.55074862523	(np.float64(0.4978153143626739),)
expon	5.273808856935594e-08	0.000678	23474.343943779662	()
gamma	8.531278774523293e-08	-408221575.4668751	120848.60899674636	(np.float64(3371.462763738942),)
