name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
gamma	-0.2680403176563501	0.4	True	3.9999999999999996	34242.18374420455	(np.float64(0.3101791603158912),)
genpareto	-3.000434077479319	0.1	False	3.9999999999957794	237.08484112520546	(np.float64(2.0260249475049985),)
expon	-3.000434077479319	0.0	False	4.0	8859.55168612	()
fisk	-3.000434077479319	0.0	False	3.999999999999999	447.29591627504874	(np.float64(0.7245974437619467),)
pareto	-3.000434077479319	0.0	False	-113.02014186649751	117.0201418664975	(np.float64(0.4935767017527346),)
lomax	-3.000434077479319	0.0	False	3.9999999999815925	117.01843482298972	(np.float64(0.4935801858179264),)
weibull_min	-1.8243428184236374	0.0	False	3.999999999999999	11529.39803938892	(np.float64(0.3763888764608687),)
						
