name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
lomax	-3.000434077479319	0.1	True	1199.0311843427135	6908.173098248157	(np.float64(0.9283704848120009),)
expon	-3.000434077479319	0.0	False	1201.0	27255.93702527098	()
lognorm	-3.000434077479319	0.0	False	1176.4650367416655	6937.871783804861	(np.float64(1.8464056072311978),)
fisk	-3.000434077479319	0.0	False	1200.999996763702	7320.7306985445775	(np.float64(0.911255595073289),)
genpareto	-3.000434077479319	0.0	False	1200.9998949830583	7413.711404449747	(np.float64(0.9861031748450559),)
pareto	-2.6994040818153375	0.0	False	-6302.608414417593	7503.608414417592	(np.float64(1.0128401276578745),)
weibull_min	-1.6782147827453993	0.0	False	1200.9999999999998	105.39571791947628	(np.float64(0.1720423567328788),)
gamma	-0.20040471823518435	0.0		123352493.21732095	1.798108584656019e-18	(np.float64(0.0001022230518779578),)
