name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
weibull_min	2.656999258171799e-07	0.3	True	1200.0030539999998	16018.229132424338	(np.float64(0.5938396541671678),)
fisk	2.77761334265086e-07	0.3	True	1200.003053993663	6822.824627065316	(np.float64(0.9022794470260591),)
lognorm	2.06784975385506e-07	0.0	False	1177.8307380401452	6648.360253357362	(np.float64(1.857916651960519),)
genpareto	3.532727312885475e-07	0.0	False	1199.5307103518744	6911.4040601929755	(np.float64(1.023131934680504),)
pareto	3.548328582235316e-07	0.0	False	-5618.938078962097	6818.941132962097	(np.float64(0.9829499850832875),)
lomax	3.9414070481978995e-07	0.0	False	1061.819681289463	8801.805231542676	(np.float64(1.1304509886222096),)
expon	8.838934786435344e-07	0.0	False	1200.003054	25289.480108862546	()
gamma	1.5152449352569205e-06	0.0	False	1200.0030539999998	1.8816873101908231	(np.float64(0.0001401706115457665),)
