name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
expon	-3.000434077479319	0.0	False	1.0	17313.518887251466	()
fisk	-3.000434077479319	0.0	False	0.9999999999999991	1113.187467897173	(np.float64(0.6652671043043048),)
pareto	-3.000434077479319	0.0	False	-186.18843013373535	187.18843013373532	(np.float64(0.3924756790895313),)
lomax	-3.000434077479319	0.0	False	0.9999999999982027	187.19183175971278	(np.float64(0.3924787065500285),)
genpareto	-3.000434077479319	0.0	False	0.999999999997268	476.97091118273994	(np.float64(2.547449646413828),)
weibull_min	-1.8243428184236374	0.0	False	0.9999999999999998	21091.701193720575	(np.float64(0.41398673377998074),)
gamma	-0.47023437927623646	0.0	False	0.9999999999999999	4.3479143178225605	(np.float64(7.780646033781922e-05),)
						
