name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
weibull_min	2.6132502320483846e-06	0.4	True	0.8779999999999999	175.84173340262458	(np.float64(0.6741903333758433),)
fisk	1.5008977027789273e-06	0.0	False	0.8779999999999999	89.18915629928483	(np.float64(0.9507628851781009),)
lognorm	1.578513997981545e-06	0.0	False	-0.3752906959786505	82.481163449761	(np.float64(1.6873120092235685),)
genpareto	4.050466105635275e-06	0.0	False	0.8779999999953834	118.35835063548456	(np.float64(0.563903557519478),)
lomax	4.050691855200582e-06	0.0	False	0.8779999999996353	209.90440401282822	(np.float64(1.7734350201728657),)
pareto	4.050692485544547e-06	0.0	False	-209.02644482824604	209.90444482824603	(np.float64(1.7734352892765963),)
expon	1.9216697292792483e-05	0.0	False	0.878	233.68461828000002	()
gamma	9.784460295695787e-05	0.0	False	0.8779999999999999	4.232901367542485	(np.float64(0.002071145483421441),)
