name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
fisk	4.081453191884995e-09	0.5	True	300.99999999998295	2868.8220335510277	(np.float64(0.7300421812181546),)
pareto	2.2372013846512656e-09	0.0	False	-1044.4846791008383	1345.484679100838	(np.float64(0.6271093206101676),)
genpareto	2.2372213508694655e-09	0.0	False	300.9999989535148	2145.5375107083105	(np.float64(1.594536992437284),)
lomax	2.2399185321380072e-09	0.0	False	300.99981218212645	1345.9922001209618	(np.float64(0.6271466950526368),)
lognorm	3.004501425521745e-09	0.0	False	299.4060046011729	2960.9037351967922	(np.float64(2.236855589137425),)
weibull_min	2.9785739221633694e-08	0.0	False	300.99999999999994	18479.226684014728	(np.float64(0.5077161499120794),)
expon	6.849082588857499e-08	0.0	False	301.0	18413.07043509545	()
gamma	1.1081841846176369e-07	0.0	False	300.99999999999994	3.1119080749052372	(np.float64(5.1875088204274966e-05),)
