name	score	bootstrap_score	bootstrap_pass	loc	scale	arg
gamma	1.302176913396646e-06	0.5	True	0.004999999999999999	34262.0563415279	(np.float64(0.4409962167833861),)
pareto	3.02046991060524e-07	0.0	False	-642.582351448458	642.587351448458	(np.float64(0.6410503408685752),)
genpareto	3.020507358391436e-07	0.0	False	0.004999999999493751	1002.4056350950077	(np.float64(1.5599645480363489),)
lomax	3.020671968392533e-07	0.0	False	0.004988661769056725	642.6224562237071	(np.float64(0.6410444949768173),)
fisk	4.1060569986151696e-07	0.0	False	0.004999999999997921	1318.5612010348989	(np.float64(0.8400873843925903),)
lognorm	4.622863526174503e-07	0.0	False	-0.849247492695809	1501.5681708340041	(np.float64(2.085662152926052),)
weibull_min	1.2817301361469833e-06	0.0	False	0.004999999999999999	16922.802917490673	(np.float64(0.46483574048470955),)
expon	1.883841404665097e-06	0.0	False	0.005	12376.955940450001	()
